================================================================================
POSSIBLY COPIED FILES
Files where Modified < Created (no USN to verify origin)
================================================================================

Total files: 15

Filename                                                     Created              Modified            
----------------------------------------------------------------------------------------------------
Corporate                                                    2009-07-14 08:50:09  2009-07-14 08:05:53 
Custom64                                                     2009-07-14 08:50:08  2009-07-14 08:04:22 
Firewall                                                     2009-07-14 08:50:11  2009-07-14 08:04:29 
LiveKernelReports                                            2009-07-14 08:50:10  2009-07-14 08:04:24 
Media Center Programs                                        2014-01-25 23:57:38  2011-04-12 13:58:08 
Network Shortcuts                                            2014-01-25 23:57:38  2009-07-14 08:04:59 
OEM                                                          2009-07-14 08:50:09  2009-07-14 08:05:53 
Panther                                                      2014-01-25 09:48:02  2014-01-25 06:57:46 
Printer Shortcuts                                            2014-01-25 23:57:38  2009-07-14 08:05:18 
SYSTEM.vhd                                                   2015-05-26 18:35:09  2014-01-30 18:37:15 
Templates                                                    2014-01-25 23:57:38  2009-07-14 08:04:59 
TraceFormat                                                  2009-07-14 08:50:14  2009-07-14 08:04:27 
authman                                                      2009-07-14 08:50:10  2009-07-14 08:06:51 
config                                                       2015-05-26 18:17:22  2014-01-30 18:46:02 
dmp                                                          2009-07-14 08:50:10  2009-07-14 08:04:40 
