Full Timeline for Partition 0
Image: /home/utsav/Github/Cyber Chakshu/siem-tool/imageProcessor/2020JimmyWilson.E01
Offset: 65664 bytes
================================================================================

d/d 35-144-1:	Documents and Settings	2009-07-14 10:38:56 (IST)	2009-07-14 10:38:56 (IST)	2015-05-26 18:15:14 (IST)	2009-07-14 10:38:56 (IST)	48	0	0
d/d 4213-144-8:	USERS	2015-05-26 18:36:52 (IST)	2015-05-26 18:36:52 (IST)	2015-05-26 18:36:52 (IST)	2015-05-26 18:16:28 (IST)	56	0	0
+ d/d 4376-144-1:	BillyBob	2015-05-26 18:36:36 (IST)	2015-05-26 18:36:36 (IST)	2015-05-26 18:36:43 (IST)	2015-05-26 18:36:36 (IST)	48	0	0
+ d/d 4374-144-1:	Fred Flintstone	2015-05-26 18:36:10 (IST)	2015-05-26 18:36:10 (IST)	2015-05-26 18:36:18 (IST)	2015-05-26 18:36:10 (IST)	48	0	0
+ d/d 4375-144-1:	James Russell	2015-05-26 18:36:21 (IST)	2015-05-26 18:36:21 (IST)	2015-05-26 18:36:28 (IST)	2015-05-26 18:36:21 (IST)	48	0	0
+ d/d 36-144-6:	Jimmy Wilson	2015-05-26 18:16:17 (IST)	2015-05-26 18:16:17 (IST)	2015-05-26 18:16:37 (IST)	2014-01-25 23:57:38 (IST)	256	0	0
++ r/r 3960-128-4:	NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	65536	0	0
++ d/d 37-144-1:	AppData	2014-01-25 23:57:39 (IST)	2014-01-25 23:57:39 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:38 (IST)	344	0	0
+++ d/d 38-144-5:	Local	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:38 (IST)	56	0	0
++++ d/d 86-144-1:	Adobe	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:27:11 (IST)	240	0	0
+++++ d/d 87-144-1:	Acrobat	2014-02-10 20:27:11 (IST)	2014-02-10 20:27:11 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:27:11 (IST)	144	0	0
++++++ d/d 88-144-5:	11.0	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2014-02-10 20:27:11 (IST)	56	0	0
+++++++ r/r 482-128-4:	AdobeCMapFnt11.lst	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	1011	0	0
+++++++ r/r 479-128-4:	AdobeSysFnt11.lst	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	82455	0	0
+++++++ d/d 89-144-1:	Cache	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2014-02-10 20:50:47 (IST)	272	0	0
++++++++ r/r 220-128-4:	AcroFnt11.lst	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	8370	0	0
+++++++ r/r 794-128-4:	SharedDataEvents	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	3072	0	0
+++++++ r/r 792-128-4:	UserCache.bin	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	67429	0	0
+++++ d/d 775-144-1:	Color	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2014-02-10 20:27:11 (IST)	376	0	0
++++++ r/r 785-128-4:	ACECache11.lst	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	1164	0	0
++++++ d/d 782-144-1:	Profiles	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:27:17 (IST)	256	0	0
+++++++ r/r 783-128-3:	wscRGB.icc	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	66208	0	0
+++++++ r/r 784-128-3:	wsRGB.icc	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:56 (IST)	2676	0	0
++++ d/d 3994-144-1:	Application Data	2014-01-25 23:57:39 (IST)	2014-01-25 23:57:39 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:39 (IST)	48	0	0
++++ r/r 4203-128-4:	GDIPFONTCACHEV1.DAT	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	63568	0	0
++++ d/d 3995-144-1:	History	2014-01-25 23:57:39 (IST)	2014-01-25 23:57:39 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:39 (IST)	48	0	0
++++ r/r 3937-128-4:	IconCache.db	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	1304292	0	0
++++ d/d 39-144-6:	Microsoft	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:38 (IST)	56	0	0
+++++ d/d 117-144-1:	Credentials	2014-02-19 19:01:09 (IST)	2014-02-19 19:01:09 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:39 (IST)	304	0	0
++++++ r/r 118-128-4:	DFBE70A7E5CC19A398EBF1B96859CE5D	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2800	0	0
+++++ d/d 105-144-1:	Device Metadata	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 20:12:58 (IST)	360	0	0
++++++ r/r 939-128-3:	dmrc.idx	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	777104	0	0
++++++ d/d 3484-144-1:	dmrccache	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 20:12:58 (IST)	256	0	0
